Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Chơi Như Tụi Mỹ,Andree Right Hand,Chơi Như Tụi Mỹ,7qPMuPHg2shbQIGyxOd09A,255vSRpVq5YYKBJiem1BVx,61,2022-12-30,160848,False,https://open.spotify.com/track/255vSRpVq5YYKBJiem1BVx,0.824,0.538,5,-7.302,0,0.0813,0.522,0.0,0.154,0.481,108.988
Nghe Như Tình Yêu,HIEUTHUHAI,Nghe Như Tình Yêu,1xjl5BzDqRbZBaWYESTLmI,1J12HjUuXfJnaUdubTEzSR,60,2021-07-09,193049,False,https://open.spotify.com/track/1J12HjUuXfJnaUdubTEzSR,0.686,0.6,5,-7.399,0,0.0463,0.0186,9.09e-05,0.141,0.28,100.008
Vì Anh Đâu Có Biết,"Madihu, Vũ.",Vì Anh Đâu Có Biết,3C5z2dMU7D6VLpnNtYujPJ,6VXVYATpQXEIoZ97NnWCmn,64,2022-08-04,241920,False,https://open.spotify.com/track/6VXVYATpQXEIoZ97NnWCmn,0.775,0.358,9,-6.473,0,0.0527,0.861,0.0,0.415,0.524,139.982
Tình cờ yêu em,"Kuun Đức Nam, Linh Thộn",Tình cờ yêu em,633b3JiGJnZoepcvZeu2yo,0gzpqwLf1jhNjnSJEyweAX,63,2023-06-10,258472,False,https://open.spotify.com/track/0gzpqwLf1jhNjnSJEyweAX,0.75,0.349,0,-9.389,1,0.051,0.305,0.0,0.295,0.481,82.002
Thằng Điên,"JustaTee, Phương Ly",Thằng Điên,0t2YXNqz7bv7n6mPorj8HC,27Z9T0mSWHYWSj9SNOGvyt,61,2022-07-11,234000,False,https://open.spotify.com/track/27Z9T0mSWHYWSj9SNOGvyt,0.626,0.503,5,-8.753,1,0.0389,0.362,1.42e-06,0.0762,0.574,140.014
có hẹn với thanh xuân,"Suni Hạ Linh, Hoàng Dũng, GREY D, Orange, tlinh",Hương Mùa Hè,1w74ARpNNB3ybFNhs4qWmV,2qWP5ZarXRsdmxzz3L3BtP,60,2022-07-24,222000,False,https://open.spotify.com/track/2qWP5ZarXRsdmxzz3L3BtP,0.421,0.568,5,-5.462,1,0.0588,0.758,0.00016,0.257,0.384,200.049
Tại Vì Sao,RPT MCK,99%,1vi1WySkgPGkbR8NnQzlXu,3440g8awr2l0E5Yy2X5Epk,58,2023-03-02,202880,False,https://open.spotify.com/track/3440g8awr2l0E5Yy2X5Epk,0.76,0.682,7,-8.323,0,0.0763,0.0347,0.0,0.101,0.552,135.043
Em iu,"Andree Right Hand, Wxrdie, Bình Gold, 2pillz",Em iu,72I8w6JUIlEKRuoUIwxWmE,5cml547MByVlaVrKU2lJTg,61,2022-01-30,179986,True,https://open.spotify.com/track/5cml547MByVlaVrKU2lJTg,0.936,0.518,0,-6.853,0,0.173,0.0673,9.46e-05,0.0764,0.402,120.039
Tình Đắng Như Ly Cà Phê,"NÂN, Ngơ",Tình Đắng Như Ly Cà Phê,4HEIdDrqHTU5Bocyc47BqI,2WOpp4vm16unl0N3i3BNNv,59,2018-04-01,215172,False,https://open.spotify.com/track/2WOpp4vm16unl0N3i3BNNv,0.754,0.0774,1,-20.617,1,0.0578,0.923,0.0,0.0802,0.701,116.071
Anh Chưa Thương Em Đến Vậy Đâu,Myra Trần,Tập 12: The Masked Singer Vietnam,6nIa2mkbxcmGbNCqYoYlYA,3QD2NfLEIvMRbzv2uTu4B7,60,2023-01-04,270644,False,https://open.spotify.com/track/3QD2NfLEIvMRbzv2uTu4B7,0.536,0.341,8,-8.988,1,0.0337,0.863,0.00134,0.152,0.343,129.921
24h,Lyly,24h,4LO3n3uH8Iu6xi09nh2u9i,4inMQ83GNpQ2OHDredH5hW,53,2020-10-28,257000,False,https://open.spotify.com/track/4inMQ83GNpQ2OHDredH5hW,0.763,0.619,8,-8.427,1,0.072,0.526,4.81e-05,0.102,0.117,119.985
3 1 0 7 (feat. Duongg & Nâu),"W/N, Duongg, Nâu",3 1 0 7 (feat. Duongg & Nâu),35lcJMXPJ00gMqMdKo7iFK,5uyNAX6MazVAjBjVeOsTvp,59,2020-05-11,232258,False,https://open.spotify.com/track/5uyNAX6MazVAjBjVeOsTvp,0.794,0.464,11,-7.654,1,0.0589,0.847,4.11e-06,0.181,0.479,123.942
